source_id,source_type,title,url,published_at,verified_at,expires_at,applies_to,confidence,notes
route-local-amap,commercial,高德地图本地接驳路线规划,https://ditu.amap.com/,,2026-08-01,2026-08-14,T01/T11/T12/T13/T22本地接驳,medium,各段使用高德导航落点；当前时间和费用为规划估值；出发前一天按实时路况刷新
rail-presale-current,official,铁路12306当前预售期查询,https://mobile.12306.cn/weixin/wxcore/ysqcx,,2026-08-01,2026-08-05,高铁预售期,high,8月1日页面显示互联网和车站渠道售至8月15日；8月19日车票预计8月5日进入15日预售期；各站具体起售时刻另查
flight-szx-dat-0815,commercial,Trip.com深圳至大同2026-08-15航班结果,https://www.trip.com/flights/showfarefirst?dcity=szx&acity=dat&ddate=2026-08-15&triptype=ow&class=y&quantity=3&childqty=1,,2026-08-01,2026-08-02,D1主航班,medium,东海航空10:05至13:20直飞；4人总价统一折合约8160元人民币；未进入支付页
flight-szx-dat-0816,commercial,Trip.com深圳至大同2026-08-16航班结果,https://www.trip.com/flights/showfarefirst?dcity=szx&acity=dat&ddate=2026-08-16&triptype=ow&class=y&quantity=3&childqty=1,,2026-08-01,2026-08-02,晚一天出发备选,medium,09:50至15:10经停郑州约1小时；4人总价统一折合约5110元人民币
flight-can-dat-0815,commercial,Trip.com广州至大同2026-08-15航班结果,https://www.trip.com/flights/showfarefirst?dcity=can&acity=dat&ddate=2026-08-15&triptype=ow&class=y&quantity=3&childqty=1,,2026-08-01,2026-08-02,广州中转备选,medium,06:40至11:55武汉中转；4人总价统一折合约4990元人民币；页面显示余票少于9张
flight-szx-tyn-0815,commercial,Trip.com深圳至太原2026-08-15航班结果,https://www.trip.com/flights/showfarefirst?dcity=szx&acity=tyn&ddate=2026-08-15&triptype=ow&class=y&quantity=3&childqty=1,,2026-08-01,2026-08-02,太原进备选,medium,11:50至14:55直飞总价统一折合约5240元人民币；仍需向北转大同
flight-ycu-szx-0823,commercial,Trip.com运城至深圳2026-08-23航班结果,https://www.trip.com/flights/showfarefirst?dcity=ycu&acity=szx&ddate=2026-08-23&triptype=ow&class=y&quantity=3&childqty=1,,2026-08-01,2026-08-02,D9主航班,medium,深圳航空12:10至14:55直飞总价统一折合约3790元人民币；07:05班次约3050元但需前一晚住运城或凌晨从吉县出发
flight-ycu-szx-0822,commercial,Trip.com运城至深圳2026-08-22航班结果,https://www.trip.com/flights/showfarefirst?dcity=ycu&acity=szx&ddate=2026-08-22&triptype=ow&class=y&quantity=3&childqty=1,,2026-08-01,2026-08-02,提前返程备选,medium,12:10直飞折合约3790元人民币；07:05班次折合约3450元人民币；未进入支付页
yungang-2026,official,云冈石窟景区预约周期延长至15日,https://www.dt.gov.cn/dtszf/bmdt/202604/87ae16347ecf462488743c37ee9c06f0.shtml,2026-04-19,2026-07-31,2026-08-15,云冈预约,high,60岁以上政策性免票人群同样需要实名预约
xuankong-ticket,official,悬空寺景区登临票预约规则,https://www.byhs.net.cn/culture_detial/204.html,2026-03-15,2026-07-31,2026-08-16,悬空寺登临,high,自2026年4月1日起每日登临票2475张；线上1200张线下1275张；每天07:20至21:00可订7日内；70岁以上或身体不宜登高者不建议登临
shanxi-museum,official,山西博物院首页及参观预约说明,https://shanximuseum.com.cn/sx/index/index.html,,2026-07-31,2026-08-14,山西博物院预约,high,提前3日实名预约；每个预约单最多3人；周一通常闭馆
pingyao-official,commercial,平遥古城景区官网,https://pingyao888.cn/,,2026-07-31,2026-08-12,平遥古城与双林寺,medium,正式订票前复核2026暑期开放点联票和优待政策
hukou-official,official,山西黄河壶口瀑布旅游区开放信息,https://en.hukouwaterfall.com/column/85/,,2026-07-31,2026-08-20,壶口瀑布,medium,4月至10月为旺季；开放范围受水情和安全管理影响
datong-city,official,大同古城与云冈暑期文旅信息,https://www.dt.gov.cn/dt12345/rxdt1/202605/b1c6865c8c614f9e9b182e37c07242ee.shtml,2026-05-08,2026-07-31,2026-08-14,大同古城活动,medium,用于古城慢游背景；具体寺庙开放时间另行复核
jin-temple,official,晋祠博物馆官方网站,https://www.jinci.com/,,2026-07-31,2026-08-14,晋祠,medium,路线确认后复核暑期开放时间门票和优待政策
wang-courtyard,commercial,王家大院2026门票信息汇总,https://jz.bendibao.com/tour/jingdianbao/,,2026-07-31,2026-08-14,王家大院,medium,仅作路线评审；预订级定稿需替换为景区官方来源
route-north-south,commercial,山西北中南成熟路线参考,https://daoyou.wutaishanlvyou.com/1780204605125151.html,,2026-07-31,2026-08-14,D3北向南包车串联,medium,用于验证悬空寺应县木塔太原的常见串联逻辑；车程需司机复核
route-pingyao-hukou,commercial,平遥王家大院壶口成熟路线参考,https://www.uhutrip.com/showtccg.asp?ID=1383,,2026-07-31,2026-08-14,D7南向转场,medium,用于验证平遥经王家大院至壶口的常见串联逻辑
route-hukou-ycu,commercial,壶口至运城约200公里车程参考,https://www.0755cts.com/expired/domestic/xian/0131595R018.html,,2026-07-31,2026-08-20,D9吉县至运城机场,medium,旅行社线路记录运城至吉县约200公里约3.5小时；出发前需司机和地图双重复核
yingxian-ctrip,commercial,应县木塔开放与参观信息,https://you.ctrip.com/sight/yingcounty3006/74400.html,,2026-07-31,2026-08-16,应县木塔,medium,页面显示暑期08:00至18:00且17:45停止入园；目前只开放一层参观并不允许登塔；下单前以景区公告为准
jinci-hours-2026,commercial,晋祠博物馆2026年旺季开放时间公告转载,https://cj.sina.com.cn/articles/view/5812119316/15a6de71402001eu2a?froms=ggmp,2026-03-31,2026-07-31,2026-08-17,晋祠开放时间,medium,转载信息称4月1日起08:30至17:30开放且17:00停止入馆；出发前用晋祠官网再次复核
hotel-datong-youqing,commercial,大同宥庆酒店大同古城华严寺店,https://hotels.ctrip.com/hotels/134295018.html,,2026-08-01,2026-08-02,大同住宿,medium,登录后查询8月15至17日2间房：特惠双床每间夜约631元；标准双床约679元；入住当天18:00前可免费取消；价格以结算页为准
hotel-datong-gaodu,commercial,高渡精品酒店大同古城华严寺店,https://hotels.ctrip.com/hotels/65049760.html,,2026-07-31,2026-08-07,大同住宿备选,medium,古城位置方便且评价量较多；部分近期评价提到隔音一般
hotel-taiyuan-wyndham,commercial,太原温德姆酒店山西博物院店,https://hotels.ctrip.com/hotels/117311500.html,,2026-08-01,2026-08-02,太原住宿,medium,登录后查询8月17至19日2间房：商务大床无早每间夜约574元；含早约622元；8月14日18:00前可免费取消；双床仅剩高价家庭套房
hotel-pingyao-wenhua,commercial,又见平遥又见文华大酒店,https://hotels.ctrip.com/hotels/8869409.html,,2026-08-01,2026-08-02,平遥住宿,medium,登录后查询8月19至21日2间房：罗汉家庭套房每间夜约729元且含3份早餐；入住当天18:00前可免费取消；仅剩3间；普通双床未显示库存
hotel-pingyao-xing,commercial,平遥行会馆古城南门店,https://hotels.ctrip.com/hotels/744459.html,,2026-07-31,2026-08-07,平遥住宿备选,medium,古院落氛围及接送评价较好；老宅房型可能存在气味和卫浴差异
hotel-jixian-jizhou,commercial,吉县吉州宾馆,https://hotels.ctrip.com/hotels/480783.html,,2026-08-01,2026-08-02,吉县住宿,medium,查询8月21至23日2间房时页面未显示任何可订房型；不能据此断言永久售罄；近期评价仍认可县城位置和房间条件
hotel-jixian-hanting,commercial,汉庭酒店吉县瀑布店,https://hotels.ctrip.com/hotels/83968561.html,,2026-08-01,2026-08-02,吉县住宿备选,medium,查询8月21至23日2间房：高级双床无早每间夜约339元；商务双床含早约379元；8月20日23:00前可免费取消；价格以结算页为准
hotel-datong-wanxin,commercial,万信至格酒店大同百盛明堂公园店,https://hotels.ctrip.com/hotels/128739610.html,,2026-08-01,2026-08-02,大同非景区住宿候选,medium,登录后查询8月15至17日2间房：舒适双床无早每间夜约339元；含早约434元；无早价8月14日12:00前可免费取消；价格以结算页为准
hotel-taiyuan-echarm-plus,commercial,太原千峰南路山西博物院宜尚PLUS酒店,https://hotels.ctrip.com/hotels/132007384.html,,2026-08-01,2026-08-02,太原非景区住宿候选,medium,登录后查询8月17至19日2间房：全智控商务双床每间夜约284元且免费取消；2间2晚约1136元；价格以结算页为准
hotel-pingyao-moshang,commercial,平遥陌上轻奢酒店平遥古城站店,https://hotels.ctrip.com/hotels/118997771.html,,2026-08-01,2026-08-02,平遥古城外住宿候选,medium,列表显示4.9分1701条点评；大床房每间夜约274元且免费取消；2间2晚约1096元；双床库存未确认
hotel-pingyao-xinhui,commercial,平遥新会馆平遥古城店,https://hotels.ctrip.com/hotels/39282342.html,,2026-08-01,2026-08-02,平遥古城外双床候选,medium,列表显示4.5分392条点评；高级标准房每间夜约254元含早餐且免费取消；2间2晚约1016元
social-xuankong-queue,community,悬空寺登临票游客问答与排队经验,https://you.ctrip.com/asks/3026/16392630.html,2026-06-02,2026-07-31,2026-08-10,悬空寺现场策略,low,游客称线上票紧张且现场票需很早排队；个体经验仅用于判断不值得全家凌晨抢票
social-xuankong-visitor,community,悬空寺近期游客评价,https://you.ctrip.com/sight/hunyuan3026/15960.html,,2026-07-31,2026-08-10,悬空寺现场策略,low,2026年6月游客记录凌晨早起排队；与官方限量规则方向一致但不作为票务规则来源
social-pingyao-cart,community,平遥古城近期游客评价与步行提示,https://you.ctrip.com/sight/pingyaocounty365/16561.html,,2026-07-31,2026-08-10,平遥步行与交通,low,游客反映古城石板路拖箱不便且电瓶车在窄街速度可能较快；用于提醒靠边步行并选择城外酒店
social-hukou-summer,community,壶口瀑布近期游客评价与暑期体验,https://you.ctrip.com/sight/jicounty3038/11393.html,,2026-07-31,2026-08-10,壶口暑期现场,low,2026年6至7月游客反映日晒强和游客中心餐饮有限；另有龙洞施工说法未获官方确认不纳入硬安排
hukou-summer-flood-2026,official,新华社：黄河壶口瀑布迎来夏汛,https://www.xinhuanet.com/politics/20260710/4f5725301c02413ca95e05b47d6430ed/c.html,2026-07-10,2026-08-01,2026-08-20,壶口水情与开放状态,high,报道时流量超过每秒1800立方米且景区正常接待游客；不代表8月22日必然开放
shanxi-flood-risk-2026,official,山西进入七下八上防汛关键期地质灾害风险提示,https://www.dt.gov.cn/dtszf/sxyw/202607/560c54242b234119ad855f8c490221d8.shtml,2026-07-21,2026-08-01,2026-08-20,山西汛期道路与地质灾害风险,high,官方提示强降雨和地质灾害风险上升；壶口及平遥至吉县路段保留T-3与T-1动态复核
fx-usd-cny-planning,official,人民币折算依据：中国银行外汇牌价,https://www.boc.cn/sourcedb/whpj/,2026-07-28,2026-08-01,,外币票价统一折算,high,最近可核验的中行折算价为100美元约679.28元人民币；项目为便于比较统一取每1美元约6.80元人民币并四舍五入到十元
food-datong-list,commercial,Trip.com大同餐厅榜单2026年7月,https://www.trip.com/restaurant/datong-275/3/,,2026-08-01,2026-08-14,大同餐厅营业线索,medium,榜单显示凯鸽操场城店和紫泥369南环店等仍在营业；营业时间和等位在T-1电话或地图复核
food-datong-longjuxiang,commercial,龙聚祥烧麦馆大同鼓楼店,https://www.trip.com/restaurant/china/datong/detail/city-33617894/,,2026-08-01,2026-08-14,D1晚餐,medium,用于餐厅位置和代表烧麦线索；具体营业时间与不辣要求当天确认
food-datong-kaige,commercial,凯鸽酒楼大同操场城店,https://my.trip.com/restaurant/china/datong/detail/kaige-restaurant-10562353/,,2026-08-01,2026-08-14,D2午餐,medium,页面显示操场城西街22号和17:00至21:30晚市；午市与订座需T-1复核
food-yingxian-xiaoxifu,commercial,应县小媳妇凉粉应元街店,https://gs.ctrip.com/html5/you/foods/fooddetail/3006/8971.html,,2026-08-01,2026-08-16,D3午餐,medium,塔前街近木塔入口；页面显示09:00营业和人均约12元；凉粉辣椒蒜泥分开
