segment_id,date,from,to,mode,depart_at,arrive_at,duration_minutes,buffer_minutes,planned_cost_cny,source_id,amap_url,baidu_url,status,notes
T01,2026-08-15,东莞,广州白云国际机场T3,预约5座车/网约车,02:10,04:20,130,30,550,route-local-amap,https://uri.amap.com/search?keyword=广州白云国际机场T3&city=广州,,confirmed,T-1按实时导航反推且只能提前不能压缩值机时间
T02,2026-08-15,广州白云国际机场T3,大同云冈国际机场,飞机,06:40,11:55,315,120,3622,flight-can-dat-0815,,,candidate,时刻和3622元为8月2日历史快照；8月5日支付页仍待用户重查
T12,2026-08-15,大同云冈国际机场,万信至格酒店大同百盛明堂公园店,机场取车后自驾,12:40,14:05,85,30,0,rental-shenzhou-datong,https://uri.amap.com/search?keyword=万信至格酒店大同百盛明堂公园店&city=大同,,confirmed,先安装儿童增高坐垫并连续录像验车
T13,2026-08-15,万信至格酒店大同百盛明堂公园店,大同古城鼓楼,网约车/步行,17:40,18:00,20,10,25,route-local-amap,https://uri.amap.com/search?keyword=大同古城鼓楼&city=大同,,confirmed,车辆停酒店正规车位
T14,2026-08-16,万信至格酒店大同百盛明堂公园店,云冈石窟游客中心,租车自驾,07:15,08:10,55,15,0,yungang-2026,https://uri.amap.com/search?keyword=云冈石窟游客中心&city=大同,,confirmed,含停车步行缓冲
T15,2026-08-16,云冈石窟游客中心,凯鸽酒楼操场城店,租车自驾,11:35,12:35,60,15,0,food-datong-kaige,https://uri.amap.com/search?keyword=凯鸽酒楼操场城店&city=大同,,confirmed,停车困难则改酒店生活区用餐
T16,2026-08-16,万信至格酒店大同百盛明堂公园店,华严寺景区入口,网约车,15:35,15:55,20,10,25,datong-city,https://uri.amap.com/search?keyword=华严寺景区入口&city=大同,,confirmed,车辆午餐后停回酒店
T03,2026-08-17,万信至格酒店大同百盛明堂公园店,恒山游客中心,租车自驾,06:35,08:20,105,20,0,xuankong-selfdrive-parking,https://uri.amap.com/search?keyword=恒山景区游客中心&city=大同,,confirmed,停恒山游客中心后全员换乘官方景交
T04,2026-08-17,恒山游客中心,应县木塔,租车自驾,10:25,11:45,80,20,0,route-north-south,https://uri.amap.com/search?keyword=应县木塔&city=朔州,,confirmed,含景交返回取车和停车缓冲
T05,2026-08-17,应县木塔,雁门关景区北门,租车自驾,13:45,15:15,90,20,0,yanmen-current,https://uri.amap.com/search?keyword=雁门关景区北门&city=忻州,,confirmed,优先北门进入减少连续爬坡；T-1按实时导航和景区管制调整
T21,2026-08-17,雁门关景区北门,开普顿连锁酒店代县精选店,租车自驾,17:25,18:15,50,15,0,route-local-amap,https://uri.amap.com/search?keyword=开普顿连锁酒店代县精选店&city=忻州,,confirmed,住代县县城不住景区；到店后车辆停免费车位
T17,2026-08-18,开普顿连锁酒店代县精选店,五台山游客服务中心,租车自驾,08:00,10:45,165,25,0,wutai-vehicle-20260723,https://uri.amap.com/search?keyword=五台山游客服务中心&city=忻州,,confirmed,有车辆预约则按核验进入；无预约停指定停车场并换免费公交
T18,2026-08-18,五台山游客服务中心,妙隐居民宿,预约车辆自驾或免费公交换乘,10:45,11:45,60,20,0,wutai-vehicle-20260723,https://uri.amap.com/search?keyword=妙隐居民宿五台山&city=忻州,,confirmed,房费仅比南门外高34元；省下当晚和次日上午重复往返
T19,2026-08-19,妙隐居民宿,太原千峰南路山西博物院宜尚PLUS酒店,租车自驾或公交换取车后自驾,12:30,16:15,225,30,0,route-local-amap,https://uri.amap.com/search?keyword=太原千峰南路山西博物院宜尚PLUS酒店&city=太原,,confirmed,每90至120分钟在正规地点短休；无车辆预约时先乘免费公交到停车点取车
T20,2026-08-19,太原宜尚PLUS,林香斋千峰南路店,网约车,18:20,18:35,15,10,25,dp-linxiang-qianfeng-current,https://uri.amap.com/search?keyword=林香斋千峰南路店&city=太原,,candidate,到店晚则改酒店附近清淡餐
T22,2026-08-20,太原宜尚PLUS,山西博物院,租车自驾,08:10,08:40,30,20,0,shanxi-museum,https://uri.amap.com/search?keyword=山西博物院&city=太原,,confirmed,含早高峰停车安检缓冲
T06,2026-08-20,山西博物院,平遥陌上轻奢酒店平遥古城站店,租车自驾,12:30,14:40,130,25,0,route-local-amap,https://uri.amap.com/search?keyword=平遥陌上轻奢酒店平遥古城站店&city=晋中,,confirmed,午餐后直达酒店停车；不绕晋祠
T23,2026-08-20,平遥陌上轻奢酒店平遥古城站店,双林寺,租车自驾,15:05,15:30,25,10,0,pingyao-official,https://uri.amap.com/search?keyword=双林寺&city=晋中,,confirmed,返程将车辆停回酒店
T24,2026-08-20,平遥陌上轻奢酒店平遥古城站店,平遥古城南门,网约车,17:40,17:55,15,10,25,pingyao-south-parking,https://uri.amap.com/search?keyword=平遥古城南门&city=晋中,,confirmed,车辆留酒店免费停车；城门外下客
